V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144
0,0,0,0,0,1,0,0,0,0,0,0,-0.6,0,0,0,0,0,0,0,0,0,-0.636364,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857143,0,0,0,0,1,0,0,0,0,0,0,0,0.233333,0,0,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.6,0,0,0,0,-0.6,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,-0.6,0,1,0,0,0,0,0,0,0,-0.647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11429,0,0,0,0,0,0,0,0,0,1,1,0,0.282051,0,0,-0.692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.52,0,0,0,0,8.36,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,1,0,-0.692308,0,0,0,1,0,0,0,0,1,-0.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2.02857,0,3,1,0,0,0,0,0,0,1,0,0,0.816901,1,0,-0.830986,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.666667,0,0,0,0,-0.478261,0,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,1,0,1,0,-0.684211,0,0,0,1,0,1,1,0,0,-0.72093,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1.05714,0,2,1,0,0,0,0,0,0,0,1,0,2.02703,0,0,-0.675676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,-0.625,0,0,0,0,-0.368421,0,0,1,1,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,1,1,-0.571429,0,0,0,0,0,0,0,1,0,-0.368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1.62857,0,2,0,0,0,0,0,0,0,0,0,0,1.01754,0,0,8.47368,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,-0.636364,0,0,0,0,-0.586207,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,-0.647059,0,1,0,0,0,0,0,0,0,-0.666667,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0.857143,0,2,0,0,0,0,0,0,0,0,0,0,0.733333,0,0,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.707317,0,0,0,1,-0.714286,1,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,1,0,1,0,1,0,-0.657143,1,0,0,1,1,0,0,0,1,-0.657143,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1.62857,0,3,0,0,0,0,0,0,0,0,0,0,0.649123,1,1,-0.789474,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.636364,0,0,0,0,-0.707317,1,0,1,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,1,0,0,0,0,0,0,-0.555556,0,0,0,0,0,0,0,0,0,-0.773585,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.657143,0,0,0,0,0,0,0,0,0,0,1,0,0.869565,0,0,-0.478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.76,0,0,0,0,-0.586207,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,0,1,0,-0.636364,1,0,0,0,0,0,0,0,1,-0.625,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1.68571,0,6,0,0,1,0,0,0,0,0,0,0,1.08475,1,1,-0.79661,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.333333,1,0,1,0,-0.72093,1,0,1,0,0,0,0,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,-0.818182,0,0,0,0,0,0,0,1,0,8.31034,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0.828571,0,1,0,0,0,0,0,0,0,1,0,0,1.13793,0,0,-0.586207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.625,0,0,0,0,-0.647059,1,0,0,0,0,0,1,0,0,1,1,0,0
0,0,0,0,0,0,0,1,0,0,0,0,-0.368421,0,0,0,1,0,0,0,1,1,-0.555556,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1.45714,0,6,0,1,1,0,0,0,0,1,0,0,1.23529,1,0,-0.764706,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.657143,0,0,1,0,-0.755102,1,0,1,0,0,0,1,1,1,1,1,0,0
0,0,0,0,0,0,0,1,0,0,1,0,-0.675676,0,0,0,1,0,0,0,1,1,-0.666667,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1.62857,0,7,0,1,0,0,0,0,0,1,0,0,1.26316,1,0,-0.789474,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.684211,0,0,0,0,-0.714286,1,0,1,0,0,0,0,1,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,-0.625,0,0,0,0,0,0,0,1,0,-0.675676,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1.22857,0,1,0,0,0,0,0,0,0,0,1,0,1.86047,0,0,-0.72093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.6,0,0,0,0,-0.6,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,-0.684211,1,0,0,0,0,0,0,0,1,-0.684211,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1.45714,0,3,0,0,0,0,0,0,0,1,0,0,1.03922,1,0,-0.764706,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.707317,0,0,0,0,-0.675676,1,0,1,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,1,0,-0.571429,1,0,0,0,0,0,0,0,0,-0.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,3.54286,0,13,0,1,1,0,0,0,0,0,1,1,0.629032,1,0,-0.903226,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.692308,0,0,1,0,-0.52,1,0,1,0,0,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,1,0,-0.647059,0,0,0,0,0,0,0,1,1,-0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.771429,0,4,0,0,1,0,0,0,0,0,0,0,2.33333,1,1,-0.555556,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.733333,0,0,0,0,-0.571429,1,0,1,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,0,1,1,-0.803279,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0.971429,0,3,0,0,0,0,0,0,0,0,0,0,1.47059,1,0,-0.647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.555556,0,0,0,0,-0.707317,1,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,1,0,0,-0.6,0,0,0,0,0,0,0,0,1,-0.636364,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.828571,0,0,0,0,0,0,0,0,0,1,1,0,0.241379,0,0,-0.586207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.707317,0,0,0,0,-0.7,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,-0.625,0,0,0,0,0,0,0,0,0,-0.636364,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02857,0,0,0,0,0,0,0,0,0,1,0,0,0.305556,0,0,-0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.714286,0,0,0,0,-0.692308,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,1,0,1,0,0,0,-0.73913,0,0,0,1,0,0,0,1,0,-0.586207,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1.4,0,9,0,0,0,0,0,0,0,0,0,0,1.30612,1,0,-0.755102,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.647059,0,0,1,0,-0.773585,1,0,1,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,-0.837838,0,1,0,0,0,0,0,0,1,-0.625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.885714,0,2,0,0,0,0,0,0,0,0,0,0,0.612903,0,0,-0.612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-0.571429,0,0,0,0,-0.571429,1,0,1,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,-0.755102,0,0,0,0,0,0,0,1,1,-0.777778,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.857143,0,4,0,0,0,0,0,0,0,0,0,1,2.93333,1,1,-0.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.755102,0,0,0,0,-0.692308,1,0,1,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,0,1,-0.612903,0,0,0,1,0,1,1,1,0,-0.818182,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1.28571,0,5,0,0,1,1,0,0,0,0,0,1,1.06667,1,1,8.6,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.769231,0,0,0,0,-0.6,0,0,1,1,0,0,1,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,-0.769231,0,1,0,0,0,0,0,0,1,-0.555556,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,1,0,0,0,1,0,0,0,1.14286,0,0,-0.571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.368421,0,0,0,0,-0.714286,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0,0,0,-0.842105,0,0,0,0,0,0,0,0,1,-0.586207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.05714,0,0,0,0,0,0,0,0,0,0,0,0,0.621622,0,0,-0.675676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.647059,0,0,0,0,-0.636364,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,-0.7,0,0,0,0,0,0,0,1,1,-0.72093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1.62857,0,1,0,0,0,0,0,0,0,1,1,0,0.596491,0,0,-0.789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.555556,0,0,0,1,-0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,1,1,0,-0.657143,0,0,0,1,0,1,1,0,1,-0.785714,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1.51429,0,4,0,1,0,0,0,0,0,1,0,0,1.26415,1,1,-0.773585,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.4,0,0,0,0,-0.647059,1,0,1,1,0,0,0,1,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,-0.612903,0,0,0,0,0,0,0,0,1,-0.785714,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.14286,0,0,0,0,1,0,0,0,0,1,1,0,0.2,0,0,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.692308,0,0,0,0,-0.571429,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0,0,8.6,0,0,0,0,0,0,0,0,0,-0.707317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714,0,0,-0.657143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,0,0,0,0,-0.769231,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,1,0,-0.6,0,0,0,0,0,0,0,1,1,-0.684211,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1.8,0,3,0,0,0,0,0,0,0,1,0,0,0.809524,1,0,-0.809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.675676,0,0,0,0,-0.803279,1,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0,0,-0.84,0,0,0,0,0,0,0,0,0,-0.789474,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8,0,0,0,0,0,0,0,0,0,0,1,0,0.285714,0,0,-0.571429,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.368421,0,0,0,0,-0.6,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,-0.714286,0,0,0,0,0,0,0,1,1,-0.636364,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0.514286,0,3,0,0,1,0,0,0,0,0,0,0,1.33333,1,0,-0.333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-0.612903,0,0,0,0,-0.555556,1,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,1,0,-0.764706,0,0,0,0,0,0,0,1,0,-0.555556,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1.14286,0,3,0,0,0,0,0,0,0,0,0,0,1.175,1,0,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.612903,0,0,0,0,-0.52,1,0,1,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,1,0,1,0,0,1,-0.657143,0,0,0,0,0,1,1,0,1,-0.75,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1.62857,0,2,0,0,1,0,0,0,0,0,0,0,0.807018,0,0,1.52632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.647059,0,0,0,0,-0.733333,1,1,1,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,-0.727273,0,0,0,0,0,0,0,0,0,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.828571,0,0,0,0,0,0,0,0,0,0,0,0,0.931034,0,0,-0.586207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.586207,0,0,0,0,-0.612903,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,1,0,1,0,1,0,-0.657143,0,0,0,1,0,0,0,1,1,-0.727273,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1.65714,0,2,0,0,0,0,0,0,1,0,1,0,0.810345,0,0,-0.793103,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.571429,0,0,0,0,-0.7,1,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,-0.8125,0,0,0,1,1,1,0,1,1,-0.333333,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1.4,0,4,0,1,0,0,0,0,0,1,0,0,1.36735,1,1,-0.755102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,-0.684211,0,0,0,0,-0.75,1,0,1,0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,1,0,-0.809524,0,0,0,0,0,0,0,1,0,-0.636364,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1.62857,0,2,0,0,0,0,0,0,0,1,1,0,1.12281,0,0,-0.789474,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.73913,0,0,0,1,-0.6,1,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,-0.636364,0,0,0,0,0,0,0,1,0,-0.657143,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1.25714,0,2,0,0,1,0,0,0,0,1,1,0,1.43182,0,0,-0.727273,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.657143,0,0,0,0,-0.6,1,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,-0.666667,1,0,0,0,0,0,0,0,1,-0.733333,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,2.0,0,5,0,0,0,0,0,0,0,0,0,0,0.871429,1,0,-0.828571,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.571429,0,0,0,0,-0.666667,1,0,1,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,1,-0.555556,0,0,0,0,0,1,0,1,0,-0.76,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0.971429,0,3,0,0,0,0,0,0,0,1,0,0,1.82353,1,0,-0.647059,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.6,0,0,0,0,-0.692308,1,0,1,1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,-0.764706,1,0,0,0,0,0,0,0,0,-0.368421,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1.51429,0,3,0,0,0,0,0,0,0,0,0,0,0.54717,1,0,-0.773585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.666667,0,0,0,1,-0.478261,1,0,1,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,-0.454545,0,0,0,0,0,0,0,1,1,-0.625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.914286,0,2,0,0,0,0,0,0,0,1,1,0,1.75,0,0,-0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,-0.612903,1,0,1,0,0,1,1,0,1,0,1,0,0
